cohort_name,AUC,AUC_train,AUPRC,decision_threshold,acc_thr,accuracy_train,precision_train,recall_train,f1_train,TP,TN,FP,FN,0: precision,0: recall,0: f1_score,0: support,1: precision,1: recall,1: f1_score,1: support,macro-avg: precision,macro-avg: recall,macro-avg: f1_score,macro-avg: support,weighted-avg: precision,weighted-avg: recall,weighted-avg: f1_score,weighted-avg: support,accuracy,balanced_accuracy,success_rate,duration,iteration,Specificity
mag_cohorts_2021_v3_Simulation_Cohort_140Z2156899_18793_3000_0.25_0.25_0.1_0.93317,0.9058132108074921,0.9161654554755754,0.8859152500615914,0.5151280760765076,0.8333333333333334,0.8288095238095238,0.8500254194204372,0.7977099236641222,0.8230371646566577,387,363,64,86,0.8084632516703786,0.8501170960187353,0.8287671232876712,427,0.8580931263858093,0.8181818181818182,0.8376623376623377,473,0.8332781890280939,0.8341494571002768,0.8332147304750044,900,0.8345465080485994,0.8333333333333334,0.8334420526201347,900,0.8333333333333334,0.8341494571002768,0,0.17,16.0,0.8501170960187353
mag_cohorts_2021_v3_Simulation_Cohort_140Z2156899_18793_3000_0.25_0.25_0.25_0.9435,0.9068529640393919,0.9229294255942879,0.8824704392078282,0.5050722360610962,0.8333333333333334,0.8419047619047619,0.842911877394636,0.8396946564885496,0.8413001912045889,401,349,78,72,0.828978622327791,0.8173302107728337,0.8231132075471698,427,0.837160751565762,0.8477801268498943,0.842436974789916,473,0.8330696869467764,0.832555168811364,0.8327750911685429,900,0.8332787858050801,0.8333333333333334,0.8332689207758576,900,0.8333333333333334,0.832555168811364,0,0.122,16.0,0.8173302107728337
mag_cohorts_2021_v3_Simulation_Cohort_140Z2156899_18793_3000_0.25_0.25_0.5_0.96817,0.9191096741611421,0.9200697780309407,0.8979241215377546,0.47847482562065125,0.8555555555555555,0.8347619047619048,0.8338095238095238,0.8354007633587787,0.8346043851286941,411,359,68,62,0.8527315914489311,0.8407494145199064,0.8466981132075472,427,0.8580375782881002,0.86892177589852,0.8634453781512604,473,0.8553845848685157,0.8548355952092133,0.8550717456794038,900,0.8555201823099611,0.8555555555555555,0.8554997313390764,900,0.8555555555555555,0.8548355952092133,0,0.196,23.0,0.8407494145199064
mag_cohorts_2021_v3_Simulation_Cohort_140Z2156899_18793_3000_0.25_0.25_0_0.931,0.9161859870971576,0.9215854297884074,0.8975677684047475,0.5474587678909302,0.8366666666666667,0.8447619047619047,0.8768267223382046,0.8015267175572519,0.8374875373878364,365,388,39,108,0.782258064516129,0.9086651053864169,0.8407367280606717,427,0.9034653465346535,0.7716701902748414,0.8323831242873433,473,0.8428617055253913,0.8401676478306291,0.8365599261740075,900,0.8459592249547535,0.8366666666666667,0.8363464451886891,900,0.8366666666666667,0.8401676478306291,0,0.132,17.0,0.9086651053864169
mag_cohorts_2021_v3_Simulation_Cohort_140Z2156899_18793_3000_0.25_0.5_0.1_0.96983,0.8586628773437771,0.8544781568368502,0.8471257956765614,0.4379284381866455,0.7833333333333333,0.7776190476190477,0.766269477543538,0.7977099236641222,0.7816736792893875,385,320,107,88,0.7843137254901961,0.7494145199063232,0.7664670658682635,427,0.782520325203252,0.813953488372093,0.7979274611398964,473,0.7834170253467241,0.7816840041392081,0.7821972635040799,900,0.7833711940060577,0.7833333333333333,0.783001251383244,900,0.7833333333333333,0.7816840041392081,0,0.102,16.0,0.7494145199063232
mag_cohorts_2021_v3_Simulation_Cohort_140Z2156899_18793_3000_0.25_0.5_0.25_0.97167,0.8519490421892253,0.8511581901430935,0.8421764153159502,0.38160645961761475,0.7766666666666666,0.7588095238095238,0.7142857142857143,0.8611641221374046,0.7808782176076141,400,299,128,73,0.803763440860215,0.7002341920374707,0.7484355444305381,427,0.7575757575757576,0.8456659619450317,0.7992007992007992,473,0.7806695992179863,0.7729500769912512,0.7738181718156687,900,0.7794892473118279,0.7766666666666666,0.775115506104242,900,0.7766666666666666,0.7729500769912512,0,0.145,17.0,0.7002341920374707
mag_cohorts_2021_v3_Simulation_Cohort_140Z2156899_18793_3000_0.25_0.5_0.5_0.97917,0.868184046224458,0.8560675050068209,0.852697209882995,0.4751027524471283,0.7866666666666666,0.7773809523809524,0.7770883054892601,0.7767175572519084,0.7769028871391076,363,345,82,110,0.7582417582417582,0.8079625292740047,0.782312925170068,427,0.8157303370786517,0.7674418604651163,0.7908496732026145,473,0.786986047660205,0.7877021948695605,0.7865812991863412,900,0.7884552002304811,0.7866666666666666,0.7867994605249508,900,0.7866666666666666,0.7877021948695605,0,0.105,17.0,0.8079625292740047
mag_cohorts_2021_v3_Simulation_Cohort_140Z2156899_18793_3000_0.25_0.5_0_0.99,0.8547761807388188,0.8599053874118364,0.8508484477578725,0.47959664463996887,0.7855555555555556,0.7764285714285715,0.7750832144555397,0.7776717557251909,0.7763753274589188,368,339,88,105,0.7635135135135135,0.7939110070257611,0.7784156142365098,427,0.8070175438596491,0.7780126849894292,0.7922497308934338,473,0.7852655286865813,0.7859618460075952,0.7853326725649719,900,0.7863772983509825,0.7855555555555556,0.7856862111017598,900,0.7855555555555556,0.7859618460075952,0,0.094,17.0,0.7939110070257611
mag_cohorts_2021_v3_Simulation_Cohort_140Z2156899_18793_3000_0.25_0.75_0.1_0.98383,0.8282822781488431,0.8436520404609177,0.8280234358523274,0.5781784057617188,0.7488888888888889,0.7588095238095238,0.795417348608838,0.6956106870229007,0.742173581063884,329,345,82,144,0.7055214723926381,0.8079625292740047,0.7532751091703056,427,0.8004866180048662,0.6955602536997886,0.7443438914027148,473,0.7530040451987521,0.7517613914868966,0.7488095002865103,900,0.7554309322532867,0.7488888888888889,0.7485812580546718,900,0.7488888888888889,0.7517613914868966,0,0.116,16.0,0.8079625292740047
mag_cohorts_2021_v3_Simulation_Cohort_140Z2156899_18793_3000_0.25_0.75_0.25_0.9855,0.819434473265964,0.8213379005456709,0.8220550785500952,0.4898977279663086,0.7444444444444445,0.7411904761904762,0.7454987834549879,0.7309160305343512,0.7381353890628765,342,328,99,131,0.7145969498910676,0.7681498829039812,0.7404063205417608,427,0.7755102040816326,0.7230443974630021,0.74835886214442,473,0.7450535769863501,0.7455971401834917,0.7443825913430904,900,0.7466102490378869,0.7444444444444445,0.7445858229618251,900,0.7444444444444445,0.7455971401834917,0,0.09,16.0,0.7681498829039812
mag_cohorts_2021_v3_Simulation_Cohort_140Z2156899_18793_3000_0.25_0.75_0.5_0.98933,0.8311193191101692,0.8105777708037036,0.8305149186373759,0.4972688853740692,0.7577777777777778,0.7333333333333333,0.7418235877106045,0.7142175572519084,0.7277588721438988,359,323,104,114,0.7391304347826086,0.7564402810304449,0.7476851851851851,427,0.775377969762419,0.758985200845666,0.7670940170940171,473,0.7572542022725138,0.7577127409380555,0.7573896011396011,900,0.7581805281664423,0.7577777777777778,0.7578856046217157,900,0.7577777777777778,0.7577127409380555,0,0.123,17.0,0.7564402810304449
mag_cohorts_2021_v3_Simulation_Cohort_140Z2156899_18793_3000_0.25_0.75_0_0.9905,0.7938565437612332,0.8274932516761965,0.8162851299787004,0.5660263299942017,0.7244444444444444,0.7378571428571429,0.7973699940227137,0.6364503816793893,0.7078800742902626,291,361,66,182,0.6648250460405156,0.8454332552693209,0.7443298969072165,427,0.8151260504201681,0.6152219873150105,0.7012048192771085,473,0.7399755482303418,0.7303276212921657,0.7227673580921625,900,0.7438165738978217,0.7244444444444444,0.7216652727749486,900,0.7244444444444444,0.7303276212921657,0,0.131,17.0,0.8454332552693209
mag_cohorts_2021_v3_Simulation_Cohort_140Z2156899_18793_3000_0.25_1.25_0.1_0.98917,0.781815211094662,0.7938838326851072,0.8026227044729096,0.3308335542678833,0.7144444444444444,0.7042857142857143,0.6745707277187244,0.7872137404580153,0.7265521796565388,380,263,164,93,0.7387640449438202,0.6159250585480094,0.6717752234993614,427,0.6985294117647058,0.8033826638477801,0.7472959685349067,473,0.718646728354263,0.7096538611978948,0.709535596017134,900,0.7176185099507968,0.7144444444444444,0.7114655706124868,900,0.7144444444444444,0.7096538611978948,0,0.124,17.0,0.6159250585480094
mag_cohorts_2021_v3_Simulation_Cohort_140Z2156899_18793_3000_0.25_1.25_0.25_0.99533,0.7908808690356536,0.7922146656314399,0.8125857155988602,0.3489324152469635,0.7266666666666667,0.7135714285714285,0.6716647443291042,0.8334923664122137,0.7438790717479241,401,253,174,72,0.7784615384615384,0.5925058548009368,0.6728723404255318,427,0.697391304347826,0.8477801268498943,0.7652671755725191,473,0.7379264214046822,0.7201429908254156,0.7190697579990255,900,0.7358546265328874,0.7266666666666667,0.7214309593416708,900,0.7266666666666667,0.7201429908254156,0,0.107,17.0,0.5925058548009368
mag_cohorts_2021_v3_Simulation_Cohort_140Z2156899_18793_3000_0.25_1.25_0.5_0.993,0.8087200637715315,0.795919667735756,0.819805519954333,0.565839946269989,0.7344444444444445,0.7035714285714286,0.7641216635630044,0.5873091603053435,0.6641489074723497,310,351,76,163,0.6828793774319066,0.8220140515222483,0.7460148777895855,427,0.8031088082901554,0.6553911205073996,0.7217694994179278,473,0.742994092861031,0.738702586014824,0.7338921886037566,900,0.7460666227607418,0.7344444444444445,0.7332725844898144,900,0.7344444444444445,0.738702586014824,0,0.152,24.0,0.8220140515222483
mag_cohorts_2021_v3_Simulation_Cohort_140Z2156899_18793_3000_0.25_1.25_0_0.9925,0.7919206222675533,0.7980102648898499,0.8138065015523688,0.44178545475006104,0.7344444444444445,0.7247619047619047,0.7109515260323159,0.7557251908396947,0.732654949121184,366,295,132,107,0.7338308457711443,0.6908665105386417,0.7117008443908323,427,0.7349397590361446,0.773784355179704,0.7538619979402678,473,0.7343853024036444,0.7323254328591728,0.73278142116555,900,0.7344136412981945,0.7344444444444445,0.7338588728673688,900,0.7344444444444445,0.7323254328591728,0,0.095,16.0,0.6908665105386417
mag_cohorts_2021_v3_Simulation_Cohort_140Z2156899_18793_3000_0.25_1.5_0.1_0.9895,0.7775126131969441,0.78936159405567,0.803601284775978,0.4390611946582794,0.7188888888888889,0.7119047619047619,0.6869198312236287,0.7767175572519084,0.729064039408867,364,283,144,109,0.7219387755102041,0.6627634660421545,0.6910866910866911,427,0.7165354330708661,0.7695560253699789,0.7420998980632009,473,0.7192371042905351,0.7161597457060667,0.716593294574946,900,0.7190990188726409,0.7188888888888889,0.7178969654199012,900,0.7188888888888889,0.7161597457060667,0,0.162,24.0,0.6627634660421545
mag_cohorts_2021_v3_Simulation_Cohort_140Z2156899_18793_3000_0.25_1.5_0.25_0.99333,0.7615598278960842,0.7866003595477897,0.7957130355078371,0.4913695156574249,0.7088888888888889,0.714047619047619,0.7138079311992356,0.7127862595419847,0.7132967295297207,335,303,124,138,0.6870748299319728,0.7096018735362998,0.6981566820276498,427,0.7298474945533769,0.7082452431289641,0.7188841201716738,473,0.7084611622426749,0.7089235583326319,0.7085204010996617,900,0.7095542414496663,0.7088888888888889,0.7090501022966758,900,0.7088888888888889,0.7089235583326319,0,0.124,17.0,0.7096018735362998
mag_cohorts_2021_v3_Simulation_Cohort_140Z2156899_18793_3000_0.25_1.5_0.5_0.9905,0.8095097811071887,0.7981146870374133,0.8211511482161626,0.48486122488975525,0.74,0.7266666666666667,0.7374749498997996,0.7022900763358778,0.7194525904203324,325,341,86,148,0.6973415132924335,0.7985948477751756,0.7445414847161572,427,0.7907542579075426,0.6871035940803383,0.7352941176470588,473,0.7440478855999881,0.742849220927757,0.739917801181608,900,0.7464351001845964,0.74,0.739681479578731,900,0.74,0.742849220927757,0,0.109,17.0,0.7985948477751756
mag_cohorts_2021_v3_Simulation_Cohort_140Z2156899_18793_3000_0.25_1.5_0_0.99217,0.7993325774492377,0.7960718224828027,0.806743645108796,0.506286084651947,0.7244444444444444,0.7152380952380952,0.7214566929133859,0.6994274809160306,0.7102713178294573,347,305,122,126,0.7076566125290024,0.7142857142857143,0.710955710955711,427,0.7398720682302772,0.733615221987315,0.7367303609341826,473,0.7237643403796398,0.7239504681365146,0.7238430359449468,900,0.7245876242475612,0.7244444444444444,0.7245017214443966,900,0.7244444444444444,0.7239504681365146,0,0.113,17.0,0.7142857142857143
